uid,count,oneMeans,bestMeans,diff,logCount
130327,10,1,1,0,2.39789527279837
130330,41,0.4,0.4,0,3.73766961828337
130331,46,0.666666666666667,0.666666666666667,0,3.85014760171006
130332,60,1,1,0,4.11087386417331
130334,53,0.875,0.875,0,3.98898404656427
130335,20,1,1,0,3.04452243772342
130341,38,1,1,0,3.66356164612965
130342,7,1,1,0,2.07944154167984
130344,41,0.5,0.5,0,3.73766961828337
130347,18,0.666666666666667,0.666666666666667,0,2.94443897916644
130352,52,0.5,0.5,0,3.97029191355212
130353,42,0,0,0,3.76120011569356
130361,42,0.5,0.5,0,3.76120011569356
130362,23,0,0,0,3.17805383034795
130365,40,0.666666666666667,0.666666666666667,0,3.71357206670431
130367,54,1,1,0,4.00733318523247
130371,39,0,0,0,3.68887945411394
130373,72,0.714285714285714,0.857142857142857,0.142857142857143,4.29045944114839
130374,52,1,1,0,3.97029191355212
130375,69,1,1,0,4.24849524204936
130376,89,0.8,0.8,0,4.49980967033027
130377,5,0,0,0,1.79175946922805
130378,28,1,1,0,3.36729582998647
130380,27,0,0,0,3.3322045101752
130381,58,0.5,0.5,0,4.07753744390572
130386,87,0.6,0.8,0.2,4.47733681447821
130387,41,0.75,0.5,-0.25,3.73766961828337
130396,41,0.666666666666667,0.666666666666667,0,3.73766961828337
130400,38,0,0.5,0.5,3.66356164612965
130401,79,0.769230769230769,0.846153846153846,0.0769230769230769,4.38202663467388
130407,11,0.5,0.5,0,2.484906649788
130410,36,0.666666666666667,1,0.333333333333333,3.61091791264422
130411,31,0.333333333333333,0.666666666666667,0.333333333333333,3.46573590279973
130412,58,0.666666666666667,0.666666666666667,0,4.07753744390572
130415,33,0.666666666666667,0.666666666666667,0,3.52636052461616
130418,40,1,1,0,3.71357206670431
130423,35,0.666666666666667,0.666666666666667,0,3.58351893845611
130424,11,0,0,0,2.484906649788
130425,52,0.75,0.75,0,3.97029191355212
130426,25,1,1,0,3.25809653802148
130429,52,0.333333333333333,0.333333333333333,0,3.97029191355212
130431,94,0.727272727272727,0.727272727272727,0,4.55387689160054
130435,39,1,1,0,3.68887945411394
130436,47,1,1,0,3.87120101090789
130437,17,0.666666666666667,0.666666666666667,0,2.89037175789616
130438,53,0.833333333333333,0.833333333333333,0,3.98898404656427
130439,42,0.8,0.8,0,3.76120011569356
130441,83,0.846153846153846,0.846153846153846,0,4.43081679884331
130443,99,1,1,0,4.60517018598809
130444,32,0.75,0.75,0,3.49650756146648
130447,66,0.818181818181818,0.909090909090909,0.0909090909090908,4.20469261939097
130448,44,1,1,0,3.80666248977032
130449,25,0,0,0,3.25809653802148
130453,58,1,1,0,4.07753744390572
130456,33,0.666666666666667,0.666666666666667,0,3.52636052461616
130458,92,0.692307692307692,0.692307692307692,0,4.53259949315326
130459,40,0.4,0.6,0.2,3.71357206670431
130462,95,0.666666666666667,0.666666666666667,0,4.56434819146784
130463,68,0.333333333333333,0.666666666666667,0.333333333333333,4.23410650459726
130464,1907,0.67816091954023,0.689655172413793,0.0114942528735633,7.55381085200823
130465,108,0.75,0.75,0,4.69134788222914
130468,23,0.428571428571429,0.428571428571429,0,3.17805383034795
130469,96,0.333333333333333,0.333333333333333,0,4.57471097850338
130470,23,0.666666666666667,0.666666666666667,0,3.17805383034795
130471,26,1,1,0,3.29583686600433
130473,36,1,1,0,3.61091791264422
130475,13,1,1,0,2.63905732961526
130479,81,0.333333333333333,0.333333333333333,0,4.40671924726425
130482,65,0.875,0.875,0,4.18965474202643
130483,116,0.935483870967742,0.935483870967742,0,4.76217393479776
130484,67,1,1,0,4.21950770517611
130486,26,1,1,0,3.29583686600433
130488,54,0.666666666666667,0.666666666666667,0,4.00733318523247
130489,44,0.8,0.8,0,3.80666248977032
130490,59,0.5,0.5,0,4.0943445622221
130494,30,1,1,0,3.43398720448515
130503,8,1,1,0,2.19722457733622
130505,29,1,1,0,3.40119738166216
130506,33,1,1,0,3.52636052461616
130508,34,1,1,0,3.55534806148941
130511,48,1,1,0,3.89182029811063
130512,28,0,1,1,3.36729582998647
130513,16,0,0,0,2.83321334405622
130515,40,1,1,0,3.71357206670431
130517,220,0.571428571428571,0.607142857142857,0.0357142857142857,5.39816270151775
130523,149,0.714285714285714,0.714285714285714,0,5.01063529409626
130525,46,1,1,0,3.85014760171006
130526,101,0.857142857142857,0.714285714285714,-0.142857142857143,4.62497281328427
130529,49,1,1,0,3.91202300542815
130530,53,0.8,0.8,0,3.98898404656427
130531,51,1,1,0,3.95124371858143
